Company	Activity sector	Country	Datasets	Occurrence records	Data citations
https://www.gbif.org/publisher/99c6eaae-f15b-4656-a600-d0c50044962e[NaturRestaurering AS]	Consulting	Norway	8	16024	219
https://www.gbif.org/dataset/72e23311-b65a-46d0-bc07-ff0a251b47e1[Nature monitoring data, Amphi Consult and Biomedia, Denmark]	Consulting	Denmark	1	47254	3
https://www.gbif.org/publisher/52bd9c22-340b-480d-b414-73db37cd9379[Navantia, S.A.]	Industrials	Spain	6	823	20
https://www.gbif.org/publisher/4e8fae15-2ca7-4493-8c57-573194d29c0f[Nocturne Environmental Surveyors Ltd]	Consulting	United Kingdom of Great Britain and Northern Ireland	1	32	17
https://www.gbif.org/publisher/c3da1f49-b2c8-4751-b72f-28855546ec4c[Oleoducto Bicentenario]	Energy	Colombia	11	4161	217
https://www.gbif.org/publisher/dbc07e15-c05b-4781-9ec3-59d331a9a4d8[Parex Resources Colombia - AG Sucursal]	Energy	Colombia	11	192415	4
https://www.gbif.org/publisher/9a408a2b-6bbb-4c95-80d9-0dce1fba1c00[Pierre Fabre]	Consumer Staples	France	20	4049	119
https://www.gbif.org/publisher/dbc2ab56-d499-403c-8db5-c1a49cd0b75f[Promigas S.A E.S.P]	Energy	Colombia	12	180848	225
https://www.gbif.org/publisher/815809f1-e6e6-44df-b3fd-b17a9d87eada[Regelink Ecology & Landscape]	Consulting	Netherlands	1	157976	103
https://www.gbif.org/publisher/80e15a76-70e8-417d-9111-b2e9e0dd8f18[Rådgivende Biologer]	Consulting	Norway	5	15214	329
https://www.gbif.org/publisher/c4444b2c-6b07-40c2-8474-6556a195cd40[SWECO Norge AS]	Engineering	Norway	1	1139	333
https://www.gbif.org/publisher/2c542862-b9dd-40fc-8260-fb434997efa7[Stratos Consultoría Geológica]	Consulting	Colombia	2	1084	26
https://www.gbif.org/publisher/f5db868f-e5bf-4208-bd9d-d4063ae1c825[TERRASOS]	Consulting	Colombia	9	24817	209
https://www.gbif.org/publisher/728e3362-3063-4a43-a6cf-71d61b50025b[TotalEnergies]	Energy	France	14	22232	95
https://www.gbif.org/publisher/04a12c74-4b26-4994-a51a-8b733a57318b[Veolia Colombia]	Energy	Colombia	2	672	1
